Tgi;0.15;0.22;0.3
0;1;1;1
0.01;1.4102;1.2935;1.2144
0.02;1.5868;1.4312;1.3171
0.03;1.7304;1.5389;1.4037
0.04;1.8536;1.6261;1.4771
0.05;1.9613;1.6994;1.5449
0.06;2.0496;1.7698;1.5948
0.07;2.1368;1.8345;1.6461
0.08;2.2086;1.8899;1.6916
0.09;2.2789;1.9408;1.733
0.1;2.3373;1.9902;1.7668
0.11;2.3942;2.038;1.7991
0.12;2.4514;2.0803;1.8284
0.13;2.5007;2.1192;1.8578
0.14;2.5472;2.1567;1.8916
0.15;2.5876;2.1926;1.918
0.16;2.628;2.2225;1.943
0.17;2.6669;2.2524;1.9666
0.18;2.7059;2.2914;1.9931
0.19;2.7448;2.3199;2.0224
0.2;2.7792;2.3453;2.0415
0.21;2.8122;2.3677;2.0607
0.22;2.8466;2.3932;2.0841
0.23;2.8765;2.4141;2.1017
0.24;2.908;2.4337;2.1194
0.25;2.935;2.4546;2.1386
0.26;2.9589;2.4726;2.1504
0.27;2.9771;2.4953;2.168
0.28;2.9995;2.5087;2.1842
0.29;3.028;2.5312;2.199
0.3;3.0474;2.5461;2.2122
0.31;3.0668;2.561;2.2254
0.32;3.0862;2.5759;2.2386
0.33;3.1056;2.5908;2.2518
0.34;3.125;2.6057;2.265
0.35;3.1444;2.6206;2.2782
0.36;3.1638;2.6355;2.2914
0.37;3.1832;2.6504;2.3046
0.38;3.2026;2.6653;2.3178
0.39;3.222;2.6802;2.331
0.4;3.2414;2.6951;2.3442
0.41;3.2608;2.71;2.3574
0.42;3.2802;2.7249;2.3706
0.43;3.2996;2.7398;2.3838
0.44;3.319;2.7547;2.397
0.45;3.3384;2.7696;2.4102
0.46;3.3578;2.7845;2.4234
0.47;3.3772;2.7994;2.4366
0.48;3.3966;2.8143;2.4498
0.49;3.416;2.8292;2.463
0.5;3.4354;2.8441;2.4762
0.51;3.4548;2.859;2.4894
0.52;3.4742;2.8739;2.5026
0.53;3.4936;2.8888;2.5158
0.54;3.513;2.9037;2.529
0.55;3.5324;2.9186;2.5422
0.56;3.5518;2.9335;2.5554
0.57;3.5712;2.9484;2.5686
0.58;3.5906;2.9633;2.5818
0.59;3.61;2.9782;2.595
0.6;3.6294;2.9931;2.6082
0.61;3.6488;3.008;2.6214
0.62;3.6682;3.0229;2.6346
0.63;3.6876;3.0378;2.6478
0.64;3.707;3.0527;2.661
0.65;3.7264;3.0676;2.6742
0.66;3.7458;3.0825;2.6874
0.67;3.7652;3.0974;2.7006
0.68;3.7846;3.1123;2.7138
0.69;3.804;3.1272;2.727
0.7;3.8234;3.1421;2.7402
0.71;3.8428;3.157;2.7534
0.72;3.8622;3.1719;2.7666
0.73;3.8816;3.1868;2.7798
0.74;3.901;3.2017;2.793
0.75;3.9204;3.2166;2.8062
0.76;3.9398;3.2315;2.8194
0.77;3.9592;3.2464;2.8326
0.78;3.9786;3.2613;2.8458
0.79;3.998;3.2762;2.859
0.8;4.0174;3.2911;2.8722
